"First Name","Middle Name","Last Name","Social Security Number","Driver's License State & Number","Date of Birth (dd-mm-yyyy)","Birth City ","State of Birth","What is Your Gender?","Cell Number","Email Address","Did you serve in a war zone?","Unit and or MOS","If you answered yes, where did you serve?","Branch of Service","Date Served (From)","Date Served (To)","Are you interested in receiving more comprehensive support: employment, mentorship, and housing?","If you're participating with a group, what is the name of the group?","If you are currently supported by another organization","This situation is one of the only exceptions to being able to leave and return","Please list any current health problems","If selected others, please mention all health problems","If you have any legal issues, please indicate","Would you like to attend Veterans Court?","Do you have a child support case being administered by San Diego County D.C.S.S?","Will a spouse or partner be attending with you?  ","If yes, please provide their full legal name.","Will any of your children (under the ages of 18) be attending with you?","If yes, please provide their full legal name(s)","Do you plan on bringing a pet with you to the event?",pet_quantity,pet_breed,"If you have any special needs such as wheelchair access, please indicate:","Please select your pick-up / drop-off location","Will you be arriving by other means such as a car or bicycle? Please explain.","Emergency Contact Name ","Emergency Contact Phone","I confirm: I have never been convicted of a sex offense.","Please type your first and last name here for electronic signature","I understand that checking this box constitutes a legal signature confirming that I acknowledge and agree to the above Terms of Acceptance."
Testing,Hussain,Hussain,,Texas,09/19/2018,Dallas,Texas,Male,1212121,muzammil@geeksroot.com,Yes,Unit,"Vietnam,Korea","Air Force,Army,Coast Guard,Marine Corps",09/19/2018,09/27/2018,Yes,Individual,"If you are currently supported by another organization, please indicate if you have any restrictions such as a curfew and must be returned by a certain time and needing to be picked up the next day to return. *",1,"Dental,Hearing,Alcohol,Drug,Vision,Feet,Emotional,Ambulatory,Skin,Internal,PTSD,Others","If selected others, please mention all health problems","If you have any legal issues, please indicate",Yes,Yes,Yes,"Spouse Name",Yes,Dependant,"Yes, Cat",1,Breed,"If you have any special needs such as wheelchair access, please indicate:","Brother Benno - Oceanside (3260 Production Ave. Oceanside CA 92058)","Will you be arriving by other means such as a car or bicycle? Please explain.","Emergency Contact Name","Emergency Contact Phone",Yes,Testing,"I understand and agree"
Muzamil,"Middle Name",Hussain,,Texas,10/09/2018,Dallas,Texas,Male,1212121,testing2@gmail.com,Yes,Unit,"(OEF) Afghanistan,(OEF/OIF) IraqF,(Desert Shield/Storm/Southern Watch) Persian Gulf","Air Force,Army,Coast Guard,Navy",10/15/2018,10/15/2018,Yes,Individual,"aasda asd asd",0,"Vision,Feet,Emotional,Ambulatory","asd asd asd","asd asda das",Yes,Yes,Yes,Testing,,,Cat,1,Breed,"If you have any special needs such as wheelchair access, please indicate:","Interfaith - Escondido (550 W. Washington Ave. Escondido 92025)","Will you be arriving by other means such as a car or bicycle? Please explain.","Emergency Contact Name",121212,Yes,Testing,"I understand and agree"
test,test,test,,Texas,,Dallas,Texas,Male,123123,alighouri@geeksroot.com,Yes,Unit,,"Air Force,Army,Coast Guard",,,,,,,,,,,,,,,,,,,,,,,,,,"I understand and agree"
Test,test,test,,Texas,,Dallas,Texas,Male,123123123,aliraza+999@geeksroot.com,Yes,Unit,,"Marine Corps",,,Yes,Individual,test,0,"Emotional,Ambulatory",,"test tset",No,No,,,No,,,0,,,"Oceanside Transit Center (235 S Tremont St, Oceanside, CA 92054)",,Muzamil,2131123123,,Muzamilhussaindahri,"I understand and agree"
Test,12312,Test,,Texas,12/10/2018,Dallas,Texas,Male,12312312,muzammil+9988@geeksroot.com,Yes,Unit,,"Marine Corps",,,Yes,Individual,"tets tes t",0,Emotional,,test,No,No,,,,,,0,,,"Escondido Transit Center (700 W Valley Pkwy. Escondido CA 92025)",,Muzamil,2131123123,Yes,Muzamilhussaindahri,"I understand and agree"
Test,Test,Test,,Test,,Test,Test,Male,123123123,muzammil+0000@geeksroot.com,Yes,Unit,,"Air Force",,,Yes,Individual,test,0,"Vision,Feet,Emotional,Ambulatory",test,test,No,No,,,,,,0,,,"Other. I am unable to get to any of the locations listed. Please contact",,Muzamil,2131123123,Yes,Muzamilhussaindahri,"I understand and agree"
Test,Test,Test,,1213,,Dallas,Texas,Male,123123123123,muzammil+9988@geeksroot.com,Yes,Unit,,"Marine Corps",,,Yes,Individual,testtset,0,"Vision,Feet",,testst,No,No,,,,,,0,,,Other,,Muzamil,2131123123,,Muzamilhussaindahri,"I understand and agree"
test,test,test,,123123,,Dallas,Testexas,Male,123123,muzammil@geeksroot.com,No,MOS,,"Army,Coast Guard",,,Yes,Individual,test,0,"Vision,Feet,Emotional,Ambulatory",test,test,No,Yes,,,,,,0,,,"Interfaith - Escondido (550 W. Washington Ave. Escondido 92025)",,Muzamil,2131123123,,Muzamilhussaindahri,"I understand and agree"
Test,Test,Test,,Texas,11/12/2004,Dallas,Texas,Male,123123123,aliraz+111@geeksroot.com,Yes,Unit,,"Air Force",,,Yes,Individual,test,0,"Emotional,Ambulatory",,test,No,No,,,,,,0,,,"Escondido Transit Center (700 W Valley Pkwy. Escondido CA 92025)",,Muzamil,2131123123,,Muzamilhussaindahri,"I understand and agree"
Test,Test,Test,,Test,"1 Jan 1919",Test,Test,Female,12312312,muzammil2@geeksroot.com,Yes,Unit,"(OEF) Afghanistan,(Desert Shield/Storm/Southern Watch) Persian Gulf","Air Force,Coast Guard",,,Yes,Individual,Test,0,"Feet,Emotional,Ambulatory",Test,"Test Test Test",Yes,Yes,,,,,,0,,,"La Posada - Carlsbad (2476 Impala Dr. Carlsbad 92010)",,Muzamil,2131123123,Yes,Muzamilhussaindahri,"I understand and agree"
Test,Test,Test,,Test,"1 Jan 1919",Test,Test,Female,12312312,muzammil2@geeksroot.com,Yes,Unit,"(OEF) Afghanistan,(Desert Shield/Storm/Southern Watch) Persian Gulf","Air Force,Coast Guard",,,Yes,Individual,Test,0,"Feet,Emotional,Ambulatory",Test,"Test Test Test",Yes,Yes,,,,,,0,,,"La Posada - Carlsbad (2476 Impala Dr. Carlsbad 92010)",,Muzamil,2131123123,Yes,Muzamilhussaindahri,"I understand and agree"
Test,Test,Test,,Test,"1 Jan 1919",Test,Test,Male,123123,alighouri@geeksroot.com,Yes,MOS,"(OEF/OIF) Iraq,(Desert Shield/Storm/Southern Watch) Persian Gulf",Army,12/12/2018,12/19/2018,Yes,Individual,Test,1,"Emotional,Ambulatory",Test,Test,Yes,Yes,,,,,,0,,Test,"La Posada - Carlsbad (2476 Impala Dr. Carlsbad 92010)",,Muzamil,2131123123,Yes,Muzamilhussaindahri,"I understand and agree"
Test,Test,Test,,Test,"1 Jan 1919",Test,Test,Male,123123,alighouri@geeksroot.com,Yes,MOS,"(OEF/OIF) Iraq,(Desert Shield/Storm/Southern Watch) Persian Gulf",Army,12/12/2018,12/19/2018,Yes,Individual,Test,1,"Emotional,Ambulatory",Test,Test,Yes,Yes,,,,,,0,,Test,"La Posada - Carlsbad (2476 Impala Dr. Carlsbad 92010)",,Muzamil,2131123123,Yes,Muzamilhussaindahri,"I understand and agree"
test,test,test,,test,"1 Jan 2004",test,test,Male,12312312312,muzammil+0000@geeksroot.com,Yes,MOS,,"Air Force",,,Yes,test,test,0,"None of the mentioned",,test,Yes,Yes,,,,,,0,,,Other,,Muzamil,2131123123,,Muzamilhussaindahri,"I understand and agree"
